Molecule  dE(S0-S1)  dE(S0-T1)  dE(S1-T1)  f12(S0-S1)
S1169     3.2730     3.0440     0.2290     0.0320
S1170     3.4610     2.9470     0.5140     0.2786
S1171     3.1360     2.9710     0.1650     0.0357
S1172     2.9800     2.7200     0.2600     0.0554
S1173     3.2150     2.9590     0.2560     0.0631
S1174     3.2070     2.8480     0.3590     0.2981
S1175     2.3250     2.1930     0.1320     0.0313
S1176     3.0600     2.7600     0.3000     0.0856
S1177     3.0670     2.6160     0.4510     0.3470
S1178     3.2830     2.8970     0.3860     0.5791
S1179     2.5040     2.3690     0.1350     0.0355
S1180     2.3410     2.2500     0.0910     0.0200
S1181     3.1400     2.6860     0.4540     0.4872
S1182     2.5120     2.4130     0.0990     0.0222
S1183     3.2950     2.8430     0.4520     0.0242
S1184     3.2050     2.9930     0.2120     0.0251
S1185     3.0990     2.7340     0.3650     0.0526
S1186     3.1750     2.9530     0.2220     0.0368
S1187     3.1270     2.7190     0.4080     0.0514
S1188     3.4750     2.9190     0.5560     0.2927
S1189     3.4120     2.8170     0.5950     0.3981
S1190     3.3660     3.0400     0.3260     0.0825
S1191     3.2680     2.9410     0.3270     0.0465
S1192     3.2150     2.9080     0.3070     0.0848
S1193     3.5110     2.5110     1.0000     1.2392
S1194     3.3290     2.5860     0.7430     0.3713
S1195     3.3580     2.5390     0.8190     0.6153
S1196     3.2860     3.0010     0.2850     0.0233
S1197     3.1590     3.0230     0.1360     0.0096
S1198     3.1210     3.0060     0.1150     0.0070
S1199     3.0810     3.0150     0.0660     0.0039
S1200     3.0430     2.9780     0.0650     0.0023
S1201     3.1950     3.0250     0.1700     0.0126
S1202     3.2190     2.9660     0.2530     0.0182
S1203     3.2490     2.8610     0.3880     0.0010
S1204     3.0870     3.0040     0.0830     0.0050
S1205     3.1990     3.0260     0.1730     0.0130
S1206     3.1580     3.0170     0.1410     0.0096
S1207     3.1030     2.8010     0.3020     0.0055
S1208     3.1970     3.0160     0.1810     0.0129
S1209     3.3680     3.0000     0.3680     0.0340
S1210     3.3270     2.9990     0.3280     0.0243
S1211     3.1220     2.9930     0.1290     0.0068
S1212     3.1730     2.9930     0.1800     0.0108
S1213     3.1500     3.0150     0.1350     0.0089
S1214     3.1870     2.8050     0.3820     1.2665
S1215     3.1720     2.7760     0.3960     1.4075
S1216     3.1270     2.7650     0.3620     0.9495
S1217     3.1400     2.8400     0.3000     1.2265
S1218     3.1280     2.7680     0.3600     1.5079
S1219     2.9760     2.6920     0.2840     1.5312
S1220     2.9190     2.6500     0.2690     1.3874
S1221     3.1430     2.9690     0.1740     0.1648
S1222     3.0370     2.7430     0.2940     1.4362
S1223     3.1770     2.8560     0.3210     0.4103
S1224     3.1330     2.8300     0.3030     1.3457
S1225     3.0900     2.8150     0.2750     0.9693
S1226     3.1500     2.8240     0.3260     0.5469
S1227     3.1520     2.8510     0.3010     1.1018
S1228     3.1180     2.8220     0.2960     1.1136
S1229     3.1120     2.8100     0.3020     1.2109
S1230     3.1090     2.8390     0.2700     0.9135
S1231     2.8930     2.6430     0.2500     1.4317
S1232     3.1710     2.8490     0.3220     1.2450
S1233     3.1880     2.8600     0.3280     0.3579
