Molecule  dE(S0-S1)  dE(S0-T1)  dE(S1-T1)  f12(S0-S1)
S1        1.0372     1.1976     -0.1604    0.0000
S559      1.9622     2.0904     -0.1282    0.0310
S582      2.0431     2.1742     -0.1311    0.0723
S606      2.0085     2.0919     -0.0834    0.0962
S616      2.0059     2.0729     -0.0670    0.1748
S637      2.0565     2.1251     -0.0686    0.3044
S669      2.0205     2.0736     -0.0531    0.4752
S700      1.5805     1.7067     -0.1262    0.0541
S702      1.8711     1.9644     -0.0934    0.0943
S811      1.8195     1.8552     -0.0357    0.3464
S838      2.0825     2.1790     -0.0965    0.2041
