Molecule  dE(S0-S1)  dE(S0-T1)  dE(S1-T1)  f12(S0-S1)
S843      2.1941     2.2133     -0.0192    0.0019
S844      2.3304     2.3300     0.0004     0.0034
S845      2.4056     2.4259     -0.0203    0.0012
S846      2.5489     2.5301     0.0188     0.0060
S847      2.0859     1.9858     0.1001     0.0015
S848      2.2364     2.1711     0.0653     0.0003
S849      2.1769     2.0947     0.0822     0.0043
S850      2.3339     2.2828     0.0511     0.0012
S851      2.3275     2.2543     0.0732     0.0029
S852      2.3724     2.2991     0.0733     0.0046
S853      2.5507     2.4534     0.0973     0.0018
S854      2.6167     2.5186     0.0981     0.0072
S855      2.2127     2.0956     0.1171     0.0044
S856      2.2722     2.2132     0.0590     0.0001
S857      2.3709     2.2434     0.1275     0.0080
S858      2.4847     2.3968     0.0879     0.0003
S859      2.1576     2.0798     0.0778     0.0049
S860      2.4982     2.4417     0.0565     0.0041
S861      2.4837     2.4629     0.0208     0.0021
S862      2.6566     2.6062     0.0504     0.0052
S863      2.2513     2.0156     0.2357     0.0004
S864      2.4321     2.2175     0.2146     0.0007
S865      2.2040     2.0287     0.1753     0.0032
S866      2.4338     2.2662     0.1676     0.0017
S867      2.6022     2.4655     0.1367     0.0077
S868      2.6679     2.4756     0.1923     0.0084
S869      2.7632     2.6340     0.1292     0.0048
S870      2.9764     2.6670     0.3094     0.0227
S871      2.5129     2.2470     0.2659     0.0034
S872      2.5817     2.3193     0.2624     0.0012
S873      2.5079     2.2499     0.2580     0.0079
S874      2.6776     2.4018     0.2758     0.0005
S875      2.2676     2.1434     0.1242     0.0069
S876      2.3109     2.2740     0.0369     0.0025
S877      2.1690     1.9854     0.1836     0.0110
S878      2.3274     2.1770     0.1504     0.0035
S879      2.4125     2.1803     0.2322     0.0162
S880      1.9906     1.9375     0.0531     0.0001
S881      2.0855     1.9722     0.1133     0.0051
S882      2.1255     2.0550     0.0705     0.0017
S883      2.2359     2.1365     0.0994     0.0042
S884      2.2127     1.9686     0.2441     0.0095
S885      2.5099     2.2225     0.2874     0.0013
S886      2.5114     2.2033     0.3081     0.0166
S887      2.1538     2.0017     0.1521     0.0016
S888      2.1190     1.9366     0.1824     0.0031
S889      2.3764     2.2014     0.1750     0.0045
S890      2.4122     2.1869     0.2253     0.0020
S891      2.3682     2.2996     0.0686     0.0041
S892      2.5713     2.5413     0.0300     0.0023
S893      2.5127     2.4328     0.0799     0.0032
S894      2.3612     2.0693     0.2919     0.0162
S895      2.3857     2.2564     0.1293     0.0043
S896      2.6148     2.2451     0.3697     0.0271
S897      2.3074     2.0565     0.2509     0.0090
S898      2.1220     2.0180     0.1040     0.0007
S899      2.3274     2.2155     0.1119     0.0038
S900      2.4994     2.1462     0.3532     0.0161
S901      2.7183     2.4172     0.3011     0.0034
S902      2.8041     2.3349     0.4692     0.0329
S903      2.4306     2.2467     0.1839     0.0001
S904      2.4309     2.1080     0.3229     0.0079
S905      2.4513     2.2708     0.1805     0.0034
S906      2.5266     2.2458     0.2808     0.0015
S907      2.5014     2.3575     0.1439     0.0084
S908      2.8021     2.7026     0.0995     0.0055
S909      2.5911     2.5388     0.0523     0.0032
S910      2.8982     2.8562     0.0420     0.0015
S911      2.2920     2.1383     0.1537     0.0074
S912      2.5579     2.4141     0.1438     0.0142
S913      2.2510     1.9803     0.2707     0.0026
S914      2.2027     2.0228     0.1799     0.0066
S915      2.4971     2.2345     0.2626     0.0084
S916      2.5043     2.3416     0.1627     0.0063
S917      2.7374     2.5879     0.1495     0.0134
S918      2.1993     2.0198     0.1795     0.0033
S919      2.3507     2.2211     0.1296     0.0075
S920      2.4983     2.2411     0.2572     0.0098
S921      2.2165     2.0613     0.1552     0.0109
S922      2.5803     2.3383     0.2420     0.0190
S923      2.5047     2.2709     0.2338     0.0031
S924      2.1361     2.0343     0.1018     0.0038
S925      2.5324     2.3185     0.2139     0.0082
S926      2.4977     2.3033     0.1944     0.0155
S927      2.9745     2.5717     0.4028     0.0333
S928      2.5721     2.3629     0.2092     0.0006
S929      2.4085     2.3050     0.1035     0.0019
S930      2.6803     2.3904     0.2899     0.0017
S931      2.5788     2.6148     -0.0360    0.0011
S932      2.6053     2.6646     -0.0593    0.0004
S933      2.7879     2.8353     -0.0474    0.0033
S934      2.5014     2.3696     0.1318     0.0011
S935      2.3802     2.2670     0.1132     0.0063
S936      2.5987     2.4928     0.1059     0.0038
S937      2.5744     2.5648     0.0096     0.0025
S938      2.7132     2.6954     0.0178     0.0010
S939      2.8974     2.8352     0.0622     0.0080
S940      2.4805     2.4034     0.0771     0.0001
S941      2.5247     2.4044     0.1203     0.0078
S942      2.6560     2.5566     0.0994     0.0016
S943      2.0769     1.9303     0.1466     0.0027
S944      2.0152     1.8905     0.1247     0.0005
S945      2.3035     2.1259     0.1776     0.0042
S946      2.1053     1.8730     0.2323     0.0112
S947      2.3765     2.0852     0.2913     0.0168
S948      2.7464     2.6985     0.0479     0.0019
